id,category_name,category_level,parent_category
5d2e2a72-63d8-4fff-9bba-6530b1cf333c,pickle,2,3a6dc651-2d2b-4465-8d65-ccacee29e2cb
a615c6c7-ce35-4061-a4d8-c2365b274c8a,pies,2,cbbc2296-2e6e-42ae-988e-e453d6121390
f5ae1a0e-25b4-4286-922c-472a16d17ecb,powder,2,ed06b94f-1f04-426b-8a5e-460c33000e5c
578e47d4-dc4b-4b1b-ab35-c0b8fbdc6b2e,protien bars,2,f95266af-f108-494d-8480-5f8bbf891772
f5766a92-f672-4d8d-bc76-831226da24f0,rice,2,3a6dc651-2d2b-4465-8d65-ccacee29e2cb
770db260-4a56-412e-9da3-11f134ec4bf1,seafood,2,d74c380f-c255-4478-8eec-396ebc6b970a
b84c1441-401b-47ea-89d2-5a74a9118e18,snack,2,76115a76-c843-4596-972f-0ac2508c5611
6b6c3e86-5e93-437e-9d12-27dd62e249c9,staples,2,544a0e72-34c7-4c93-95de-c7fb2deab071
1affcf34-79e2-4312-812a-7f46dec41033,sweets,2,f95266af-f108-494d-8480-5f8bbf891772
9118b385-5464-4242-b677-868761a6bca1,tea,2,2aeb92ac-c1db-46ca-b546-ffc85ef3d13c
400d983f-6709-448d-b72b-fa6dfe001e49,veg,2,76115a76-c843-4596-972f-0ac2508c5611
5c1d966c-111c-4ae6-990b-8b73d682da31,yogurt,2,81097bc0-3669-4c73-b586-4980b4f255bd
